N,P,K,temperature,humidity,ph,rainfall,label
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize
15,140,195,13.28504331,83.54193816,5.69945282,65.80006004,grapes
109,12,48,29.45771748,92.12534736,6.708743843,20.76212031,muskmelon
63,37,43,23.41798979,85.08640476,6.661957897,185.7446728,jute
9,77,17,20.12373284,24.45202552,5.783425416,106.158201,kidneybeans
11,78,22,23.89756791,22.74378977,5.940546818,112.6616435,kidneybeans
3,27,44,24.56811204,92.03009222,6.591302797,110.9633894,pomegranate
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,maize
84,29,49,29.94349168,93.90741192,6.251420275,20.39020503,muskmelon
17,52,17,27.88352946,86.45147631,6.364967184,44.64407105,mungbean
19,79,19,20.06003985,67.76252583,6.677262562,42.89509057,lentil
2,38,18,27.53632932,89.92908171,6.619891498,45.48591922,mungbean
5,19,25,27.3511056,54.43945147,6.441328044,96.27792547,mango
39,76,76,19.96837462,15.57324389,8.135900726,69.15759062,chickpea
22,38,31,31.53356352,53.06009323,5.821106036,98.57025046,mango
28,59,22,30.90607799,52.79913039,7.05181629,170.9919828,pigeonpeas
85,25,47,26.11440416,87.64081095,6.29542477,58.48160844,watermelon
71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,maize
22,18,33,30.41235793,52.48100602,6.621623545,93.92375879,mango
28,6,40,22.10621387,91.34039616,6.769855664,106.8704803,pomegranate
100,40,35,27.56441788,54.41094079,6.955787351,177.816092,coffee
24,21,42,20.82210727,87.22815682,6.999014379,109.4429934,pomegranate
2,120,203,23.12652652,94.71203306,5.893492999,108.6211833,apple
0,137,195,22.4359017,80.18612085,6.329499832,65.3973168,grapes
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice
7,144,197,23.8494014,94.34814995,6.133220586,114.0512495,apple
39,64,52,28.91842453,94.63676767,6.678695788,63.68794608,papaya
30,44,16,29.73013036,82.89166381,6.442335593,50.91511275,mungbean
36,128,204,25.23542319,80.68700527,5.695792761,67.03840888,grapes
37,18,30,27.63551259,99.34854917,6.38488418,157.9171537,coconut
24,14,33,29.38072512,93.27565685,6.366219551,218.5241851,coconut
31,36,29,33.93679864,52.72170281,6.460542749,97.4611918,mango
32,12,30,25.39241091,98.08951196,5.579845008,218.080385,coconut
40,17,15,21.35093384,90.9492967,7.871063004,107.0862095,orange
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,maize
32,57,18,15.53834801,23.75560241,5.695422863,107.3850593,kidneybeans
14,131,198,33.4641162,83.86742974,5.562790949,67.92204319,grapes
30,25,31,26.31270635,98.62048026,5.804965067,208.1181381,coconut
0,12,7,20.18432263,90.65458473,6.969249676,116.8130969,orange
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,maize
4,20,25,28.93270187,47.94053996,5.664587011,99.9834242,mango
11,71,24,21.14011423,22.7182355,5.606620346,141.6056722,kidneybeans
5,8,5,11.03367937,92.22706805,6.562594972,112.7715925,orange
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,rice
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,rice
39,65,53,35.33294932,92.11508608,6.560743093,235.6133585,papaya
131,35,18,24.49112609,82.24415809,7.057693366,64.02949379,cotton
7,11,32,29.25902906,95.11294697,5.542169139,184.7624496,coconut
36,27,26,26.58413917,95.78923137,6.25449571,171.6262299,coconut
0,5,36,24.35193812,90.88612388,6.152906502,105.529185,pomegranate
94,26,27,26.36629861,52.25738495,7.456460375,177.3176161,coffee
8,23,38,19.30106297,87.1775172,7.005410734,105.4766591,pomegranate
29,72,24,23.17409556,36.67847052,6.962386495,162.5931264,pigeonpeas
38,68,54,29.33710543,90.81781439,6.739170045,202.0572747,papaya
17,77,24,20.76952209,18.93146941,5.568456899,109.0193712,kidneybeans
35,18,26,31.99490489,50.84881347,5.279388967,97.38741498,mango
1,17,6,10.78689755,91.38411917,6.8198271,117.5293447,orange
14,128,205,22.60800988,94.58900601,6.226289556,116.0396587,apple
123,50,16,23.04920461,75.53835214,6.498052108,70.65644296,cotton
36,29,13,20.68185224,90.91510525,7.829507245,109.7513927,orange
111,5,50,27.59350075,91.79742953,6.399891457,24.84266123,muskmelon
21,29,12,22.30318989,92.15987039,6.438668989,117.3688104,orange
29,25,14,30.49183837,90.4582865,7.781988584,113.3302105,orange
101,33,33,26.97251562,62.0183627,6.908671379,142.8610793,coffee
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice
116,71,47,27.57278064,82.0638878,6.435785799,91.34276507,banana
29,121,196,22.84852833,94.32130209,6.079497202,123.5977843,apple
19,120,195,18.73932187,81.12109244,5.931538447,73.55807954,grapes
34,15,34,27.05826457,91.10510371,5.677282678,224.7006953,coconut
39,42,20,29.3499706,61.25353851,8.055908858,40.82840673,mothbeans
84,55,38,26.8748389,79.78725152,6.956682743,173.1017097,jute
86,26,27,27.13140403,52.89368299,6.081172981,192.4280381,coffee
95,21,47,27.93114233,93.56161439,6.431970877,20.66127836,muskmelon
31,121,201,23.15791104,90.34396882,5.731535258,110.712841,apple
19,35,24,27.11030369,83.64274107,6.883308033,49.11964582,mungbean
14,121,203,9.724457611,83.74765639,6.158689406,74.46411148,grapes
72,41,36,24.09874353,80.57226761,6.187746776,176.8604109,jute
88,21,27,24.43011925,66.02411187,7.231166546,181.6368274,coffee
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize
85,95,47,25.94019018,78.3422098,6.211833161,119.84797,banana
93,85,49,27.96799119,79.28625709,5.694243847,119.4765557,banana
82,24,33,26.53543168,67.09608099,6.809593554,120.6494434,coffee
100,76,45,25.56703012,75.94067692,5.590236025,102.7867717,banana
39,65,23,25.43459777,69.12613376,7.685959305,41.02682925,lentil
106,85,53,27.1994597,78.8086068,5.91505509,99.72430835,banana
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,maize
1,6,35,27.02269204,95.71935435,6.231662767,147.1682459,coconut
6,66,15,34.93174223,30.40046769,6.345806011,159.2649827,pigeonpeas
100,14,49,29.48882958,91.07574233,6.365956658,26.01909355,muskmelon
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,rice
5,35,20,28.92952635,53.57014709,9.679240873,66.35634104,mothbeans
114,40,23,25.53676123,81.13668716,6.753978061,95.4262599,cotton
8,120,201,21.18667419,91.13435689,6.321152192,122.233323,apple
24,45,19,26.85851927,48.8246387,5.952384957,34.7426459,mothbeans
32,11,31,29.51611558,92.56492864,6.461225827,131.2116167,coconut
40,27,45,21.6602498,94.79397419,5.885638185,112.4349689,pomegranate
27,63,19,20.93409877,21.1893007,5.562201934,133.1914419,kidneybeans
22,8,33,28.43572863,95.8840407,5.665785202,203.9283708,coconut
38,60,76,18.65054116,17.80852431,8.868741443,77.92798682,chickpea
117,82,45,25.29391516,79.29122198,5.614471478,105.4220251,banana
83,29,52,25.76402693,87.5931128,6.704688865,46.05122728,watermelon
18,23,44,23.71028128,89.61794165,6.184400085,105.6499907,pomegranate
34,140,198,21.70416965,93.44006288,5.751707342,115.1781396,apple
8,23,44,18.47412402,89.68919664,7.130837931,108.4758509,pomegranate
27,138,201,23.66682067,93.90191078,5.952367662,105.4004751,apple
82,75,55,27.34585147,78.4873835,6.281069505,92.15524332,banana
111,50,15,25.16820129,80.30351815,7.884550475,84.62419032,cotton
86,79,45,27.81251452,82.69285419,5.80766417,99.20961514,banana
9,48,22,27.77076285,87.09979549,6.402926221,49.50812624,mungbean
25,62,21,26.73433965,68.13999721,7.040056094,67.15096376,blackgram
21,63,17,25.08966129,68.17543102,6.559681838,41.45486619,lentil
108,60,17,22.75805656,76.75768356,6.558902588,97.76600619,cotton
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,maize
84,27,29,23.32293161,53.00366334,7.167092586,168.2644287,coffee
129,43,16,25.5503704,77.85055621,6.73210948,78.58488484,cotton
35,51,17,28.79929247,49.84213387,3.558822825,40.85534718,mothbeans
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice
9,21,32,32.26935342,53.56092806,5.870116071,95.94035356,mango
120,8,46,29.55657523,90.70937262,6.732834334,28.36535596,muskmelon
17,11,32,28.74013335,93.39676499,5.620733794,156.7650823,coconut
13,144,197,22.9215706,94.89613443,6.28022267,105.6941544,apple
20,27,41,20.51343484,92.51675903,5.700088663,110.5764023,pomegranate
39,70,15,20.76774783,63.90164154,6.366355781,47.9271552,lentil
43,64,47,38.58954491,91.58076549,6.825664782,102.2708231,papaya
48,61,21,30.28496619,61.69295127,6.628264883,65.62859526,blackgram
32,14,37,22.73031253,88.48567856,6.825256236,104.6843243,pomegranate
82,77,46,28.9470467,82.1888998,5.901100841,95.83016448,banana
14,57,15,29.8757015,83.14796296,6.623438282,40.12044158,mungbean
6,30,40,22.77035608,91.45498527,6.36137446,106.9659201,pomegranate
13,23,6,23.96147583,90.26408017,7.365338111,102.6958703,orange
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,maize
26,18,30,32.06097197,51.08494181,6.336234624,96.59816497,mango
83,94,47,27.39872329,81.10523402,6.469370954,112.1355384,banana
24,56,85,18.19903647,17.41333199,6.545888558,80.6405403,chickpea
80,52,39,26.41915161,76.85691248,7.165696848,197.2101782,jute
40,78,20,19.18572809,20.83398341,5.669236258,80.15293435,kidneybeans
36,66,15,30.08545364,69.34811988,6.668238556,67.1367443,blackgram
33,139,203,33.34214482,82.51034633,5.693287415,70.68098614,grapes
103,51,20,22.80213132,84.14668447,7.046607434,91.6389565,cotton
38,56,25,25.74095321,45.38497051,7.88118645,67.43488235,mothbeans
40,126,201,11.36300891,80.03100049,6.116982944,71.18289431,grapes
22,26,38,22.92052307,85.12912161,6.988035315,110.2437841,pomegranate
25,12,26,28.56973521,95.67906668,6.436314406,134.8370348,coconut
44,57,53,42.30495821,90.51431779,6.93172108,74.876786,papaya
119,44,15,22.14593688,82.8597549,7.091992365,60.65381719,cotton
40,22,29,27.55821802,99.98187601,5.735364307,174.6256481,coconut
35,66,47,31.7018373,91.66232213,6.953439161,48.83810592,papaya
42,58,25,27.45853567,62.90020977,6.513620918,69.46020927,blackgram
115,11,46,24.41592661,89.39655519,6.623167177,40.32161859,watermelon
23,70,15,34.6008247,63.11296779,7.403623355,60.41790253,blackgram
107,22,54,27.99611732,90.84660317,6.630301421,21.61893763,muskmelon
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,maize
105,77,52,29.16226551,76.16151562,5.816622479,100.0075679,banana
3,60,19,25.74679443,40.7192594,4.820788186,100.7791633,pigeonpeas
27,72,17,28.98039357,57.23265151,6.347929353,120.7435664,pigeonpeas
91,21,50,24.33528185,81.44030363,6.762030215,48.32113628,watermelon
91,38,36,26.5232969,77.17331847,7.287318723,157.8548562,jute
132,41,22,24.29144926,81.02453404,7.810865753,90.41694635,cotton
32,41,16,28.63618921,61.39451307,7.702287236,68.54877876,mothbeans
34,54,24,31.2119298,41.55934359,5.026003659,68.80141783,mothbeans
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,maize
2,24,38,24.55981624,91.63536236,5.922935513,111.9684622,pomegranate
69,60,54,36.32268069,93.06134398,6.98992719,141.1736926,papaya
4,24,43,22.40423537,88.1508343,7.199504273,109.8695196,pomegranate
73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,maize
54,67,52,35.67667332,93.30641944,6.586107335,141.3381168,papaya
17,43,22,30.06142622,45.90067655,5.498340808,41.0550915,mothbeans
101,87,54,29.07311132,76.50045221,6.376756633,100.1692639,banana
36,26,26,30.17294105,51.0845903,6.814630246,95.23444287,mango
101,10,47,25.5421695,83.31883376,6.936997681,57.57343233,watermelon
84,38,43,26.57421679,73.81994896,7.26158085,159.3223075,jute
29,142,203,29.67229086,83.71498986,5.891195653,66.48490371,grapes
28,79,16,24.70626432,60.26854183,6.052184881,53.12442925,lentil
26,18,42,19.72620525,89.64934166,6.910374919,108.2287276,pomegranate
27,71,23,23.45379018,46.48714759,7.10959773,150.8712202,pigeonpeas
40,62,19,27.32198928,34.13737127,4.697750704,96.51524028,pigeonpeas
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice
26,65,22,17.84806561,18.77621951,5.949949081,143.0984171,kidneybeans
5,65,19,18.28072173,68.10365387,6.978361689,48.80253285,lentil
7,144,195,22.96388477,93.58065995,5.85648105,104.6472986,apple
66,58,35,23.5643831,79.46283115,7.321619041,185.25947,jute
105,60,23,23.53371386,77.21705554,6.207652157,87.54004943,cotton
99,15,27,27.0424167,57.27927475,6.501157208,165.6872119,coffee
34,35,21,28.44524991,82.67639542,6.684381357,58.18713162,mungbean
117,25,54,28.68275966,92.50969311,6.150686364,29.11187663,muskmelon
10,37,22,28.7275267,89.12760359,7.069747814,58.52974279,mungbean
121,45,22,22.45942937,81.30681027,6.443785385,64.23026638,cotton
19,72,15,28.83600962,69.76112921,6.890760124,44.08562546,lentil
94,89,48,28.55980972,84.51602322,5.653437902,111.0843029,banana
58,75,25,25.25596239,61.36669662,7.261791753,68.64685069,blackgram
34,56,17,33.4126864,35.42910045,4.548202098,139.6702541,pigeonpeas
101,25,52,29.09910406,94.22237826,6.750145572,22.52497327,muskmelon
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice
31,55,22,22.91350245,21.33953114,5.873171894,109.225556,kidneybeans
33,57,17,27.89636126,88.71782287,6.78415271,57.79863368,mungbean
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,rice
116,40,33,24.91370487,54.15319242,7.042089492,129.5481144,coffee
114,27,48,27.82054812,93.03555162,6.528404378,26.32405487,muskmelon
136,36,24,22.74446976,80.41198458,7.59781958,90.07326633,cotton
25,70,16,19.63474332,18.90705639,5.759237003,106.3598183,kidneybeans
3,49,18,27.91095209,64.70930606,3.692863601,32.67891866,mothbeans
74,46,45,25.75734909,88.36668522,6.025028997,189.4263485,jute
80,18,31,24.02952505,58.84880599,7.303033217,134.6803969,coffee
111,87,48,26.3985515,81.36028902,5.571401169,98.16752001,banana
6,13,9,34.51423957,90.56151463,7.786725333,118.3271968,orange
89,52,42,23.09433785,81.45139295,6.14132902,196.6587013,jute
30,79,22,18.28766124,69.48515056,6.254216611,48.60449438,lentil
95,26,45,29.91690582,94.55695552,6.117530021,28.16057247,muskmelon
27,73,79,19.16288268,15.83500655,7.354973451,82.69766829,chickpea
61,68,50,35.21462816,91.49725058,6.793245417,243.0745066,papaya
70,38,35,24.39736241,79.26861738,7.014063944,164.2697011,jute
35,64,78,17.92845928,14.27327988,7.496645259,85.37378769,chickpea
29,145,205,22.81227579,92.12992101,6.212302608,109.3383552,apple
115,18,53,29.17052093,94.19790371,6.012480351,22.06994464,muskmelon
3,23,30,29.70143197,95.65754365,6.078807239,215.1968037,coconut
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,rice
47,63,16,27.44003279,67.10464369,6.661870999,72.50669768,blackgram
67,41,40,25.848795,87.81661683,7.333143205,152.6194403,jute
1,12,30,27.754298,95.94643831,5.56222383,131.0900076,coconut
50,47,48,24.63676897,90.61964344,6.712772333,218.2299187,papaya
20,19,35,34.17719782,50.62161586,6.113935087,98.00687989,mango
85,21,47,29.87331077,90.60932469,6.186770318,24.69720481,muskmelon
54,77,85,17.1418614,17.0662427,7.829211144,83.74606679,chickpea
9,137,200,21.12152071,90.6878768,5.636687393,102.8017203,apple
118,15,45,24.21495706,84.20576992,6.538006356,48.01138482,watermelon
3,56,17,28.19912143,53.50567601,8.709291688,52.13580529,mothbeans
87,21,52,27.3506296,94.2911951,6.067665498,27.21244021,muskmelon
102,73,54,26.4020227,84.41007614,5.720726906,111.0162259,banana
19,122,202,23.34467359,90.37981478,5.811975094,112.8954016,apple
16,35,31,32.27652024,50.19368841,5.316875978,95.99487068,mango
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,maize
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice
87,28,30,25.60153969,68.66257977,6.536676653,168.8383605,coffee
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,maize
25,57,19,17.15432954,19.87070659,5.566522896,87.99669731,kidneybeans
100,6,53,29.05248036,93.92217834,6.105909623,23.66620626,muskmelon
32,11,31,25.06871967,93.31410447,6.205931638,134.8419069,coconut
24,53,17,28.95451232,89.07866095,6.421271178,57.65901369,mungbean
76,54,45,24.29496635,77.62976013,6.176618831,184.9800516,jute
65,39,45,23.66805429,70.89000744,6.768001309,184.4633281,jute
107,58,15,23.73868041,75.77503808,7.55606399,76.63669195,cotton
118,88,52,28.65003945,82.68752542,5.843163161,98.75084366,banana
60,55,40,24.9949957,88.95692783,7.02777956,151.4935635,jute
109,21,55,24.9004602,89.73524177,6.770278088,57.44942094,watermelon
82,78,46,25.05802193,84.97323747,5.738678895,110.4408803,banana
0,25,14,19.33516809,91.97978938,6.361671475,116.450422,orange
97,8,52,24.9103226,86.97190046,6.237861736,49.48575692,watermelon
38,15,30,28.91862016,48.13974548,5.075504537,97.01331604,mango
89,9,47,29.47156259,90.77069618,6.668382766,28.75226067,muskmelon
135,43,16,23.47986888,81.73049149,6.720449769,86.76287924,cotton
68,69,52,25.65492304,92.74501561,6.813383387,52.95477913,papaya
90,86,52,25.85036988,81.95580471,5.793260262,119.0856171,banana
35,41,18,28.70562673,81.59200689,6.705008504,59.87065439,mungbean
100,10,53,24.54356968,84.60808277,6.211748957,42.00660251,watermelon
20,72,15,36.00415838,56.01334416,7.313517308,134.8596466,pigeonpeas
3,28,33,30.33723921,48.88704844,5.755049971,94.42850522,mango
89,52,45,24.89326318,77.01222585,7.207457208,196.469984,jute
6,139,199,25.67385024,81.6212135,6.29099842,74.10919422,grapes
31,58,15,27.11026483,84.96771717,7.121571293,51.52617423,mungbean
35,57,83,19.48316794,17.44534641,7.476800943,80.4986291,chickpea
106,10,49,27.72653142,92.00687531,6.350623739,20.21126747,muskmelon
21,74,15,29.49096726,67.10604388,6.471862118,153.2504506,pigeonpeas
61,41,44,24.36972377,82.11319791,6.537914958,159.9210934,jute
75,41,35,24.97042599,78.62697699,6.856833064,166.6415254,jute
109,23,25,25.11711046,68.48030408,7.00733163,194.8773479,coffee
8,15,33,28.97318719,98.09861043,5.50158009,213.9011021,coconut
111,5,47,28.03306461,91.47355778,6.274452811,21.17924769,muskmelon
82,35,35,25.49386782,86.97061481,7.299076163,176.5268267,jute
82,35,44,26.96656378,78.21047693,6.239011,169.8391177,jute
6,37,17,28.08657178,80.35005927,6.760694228,38.14476781,mungbean
99,29,55,29.19378695,91.46241065,6.660954816,26.48240255,muskmelon
39,127,202,15.3246651,81.67215994,6.477768039,71.60102999,grapes
133,47,23,24.88738107,75.62137159,6.827354668,89.76050416,cotton
22,67,78,17.16606398,14.42457525,6.204090835,72.32667516,chickpea
121,47,16,23.60564038,79.29573149,7.723240151,72.49800885,cotton
49,54,50,25.62446619,93.18240298,6.762522087,97.26336657,papaya
28,76,82,20.56601874,14.25803981,6.654425315,83.75937135,chickpea
60,61,78,20.71219282,19.83643308,6.317153205,94.03659867,chickpea
21,134,202,10.72302459,80.02130636,6.425419926,65.2982112,grapes
42,59,55,40.10207731,94.35110201,6.979102243,149.1199989,papaya
89,91,55,25.08347445,80.261731,6.275572298,94.32961456,banana
5,21,38,22.43377991,90.3396556,6.107054808,112.459697,pomegranate
133,50,25,25.72180042,81.19666206,7.569454601,99.93100821,cotton
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,rice
84,21,55,28.47090661,94.79453182,6.494251024,21.08484101,muskmelon
97,25,50,26.22005978,80.90127035,6.093814669,49.08553937,watermelon
109,26,45,28.27973674,90.38971208,6.224535449,21.58992507,muskmelon
5,68,20,19.04380471,33.10695144,6.12166671,155.3705624,pigeonpeas
131,38,19,23.86814008,75.68339729,6.814341946,90.4547185,cotton
4,47,20,25.97948991,64.95585424,4.193189124,72.19245835,mothbeans
31,53,16,28.7420098,85.81675947,6.452006451,48.54598575,mungbean
123,44,21,25.78544484,75.00539324,7.641116569,91.39578861,cotton
42,73,25,34.03679184,67.21113844,6.501869314,73.23573601,blackgram
2,131,199,22.47420512,91.22759742,6.017370134,124.2179699,apple
17,73,18,19.50112224,34.51086611,5.632353113,197.3752649,pigeonpeas
24,130,195,29.99677232,81.54156612,6.112305667,67.12534492,grapes
18,125,204,22.35548159,94.47811755,6.046673619,116.7366261,apple
34,66,17,18.81097271,21.27833035,5.889614577,125.084915,kidneybeans
120,48,16,22.46054478,75.40989245,7.456971816,71.85436078,cotton
38,19,31,34.73823882,49.08864345,5.855119268,90.65022183,mango
14,55,15,27.33580911,55.27755933,8.050304395,73.44775287,mothbeans
23,7,34,26.1055118,91.52421214,5.852038202,134.1279669,coconut
19,36,22,25.44689075,58.55363573,6.16496284,57.04826619,mothbeans
89,40,43,26.24532085,72.97198375,7.124050134,189.9711184,jute
110,71,54,28.67208915,82.20793613,5.725418961,94.37987496,banana
16,73,19,18.41645629,34.80541039,4.684079249,163.2747473,pigeonpeas
93,83,46,29.38254012,83.50423735,5.765308943,109.2486647,banana
3,26,39,24.38318965,91.19431555,7.079973241,103.6012114,pomegranate
4,6,7,23.01014302,91.11764246,6.708889665,112.6738296,orange
42,60,47,33.46873719,92.12746225,6.834808348,136.8277041,papaya
93,43,38,23.61475336,86.14290267,6.987332927,150.2355238,jute
122,59,18,23.5000992,83.63488952,6.219469084,79.81328183,cotton
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,maize
2,78,23,21.31852148,66.43934593,7.320514721,45.42616802,lentil
21,78,19,27.16159076,66.76017239,6.92009048,69.85112265,blackgram
32,79,15,23.90910104,20.74619325,5.706198621,81.60211243,kidneybeans
115,12,52,27.51492243,94.96218673,6.685553129,21.01796432,muskmelon
6,72,15,22.99451999,66.70897237,7.670178119,54.49044154,lentil
27,24,41,24.32770134,90.88292835,6.610251186,110.4606459,pomegranate
13,5,8,23.85340379,90.10522549,7.474710503,103.923226,orange
25,59,19,29.06631494,83.6869203,6.626629798,43.95183726,mungbean
100,24,28,25.59535262,57.72920846,7.101661011,195.7733251,coffee
67,55,44,26.284017,75.14640198,7.251847296,182.2685447,jute
22,60,85,18.8392908,14.74071856,7.811997977,94.78189594,chickpea
17,64,17,21.02213209,24.93896255,5.662699104,124.6118471,kidneybeans
30,37,25,29.89129144,80.14487166,7.120032489,54.7960127,mungbean
36,38,15,28.36363858,87.59810657,6.320662012,57.99524359,mungbean
